policy,seed,excluded_resources,effective_capacity,effective_roster_seed,arrival_model,atomic_duration_scale,atomic_activity_mode,drl_assignments,drl_postponements,unpermitted_activities,still_queued_at_end,missing_resource_starts,automatic_atomic_transitions,assigned_atomic_starts,max_resource_occupation,arrivals,completed_cases,completion_share,completed_within_arrival_window,completion_within_arrival_window_share,cycle_time_days,p95_cycle_days,occupation,fairness,w_occupation,w_fairness,time_to_first_offer_days,first_offer_reach_share,time_to_decision_days,decision_reach_share,case_handover_rate,activity_switch_rate,rolling_workload_std,w_activity_switch_rate,w_rolling_workload_std,w_event_share,ao_event_share,w_busy_share,ao_busy_share,median_sessions_per_work_item,max_sessions_per_work_item,max_session_guard_reached,max_session_guard_forced_completions,withdrawals,rare_shortened_work_items,rare_personal_loan_work_items,resources_evaluated,zero_availability_resources,busy_outside_availability_hours
parksong,4000002,,1,4000044,mdn,0.0,automatic,0,0,0,0,0,31293,0,0.3112,2150,2150,1.0,729,0.33906976744186046,20.927724105711054,38.91686899138368,0.01598696727021877,0.020536612244897955,0.01598696727021877,0.020536612244897955,1.5338592507168607,1.0,14.04369852314557,0.7120930232558139,0.6497844827586207,0.1206009466968512,0.02811495297300299,0.1206009466968512,0.02811495297300299,0.22043037226708687,0.7795696277329132,1.0,0.0,1.0,11,0,0,276,0,0,140,3,41.45227527777777
parksong,4000003,,1,4000045,mdn,0.0,automatic,0,0,0,0,0,32132,0,0.1134,2203,2203,1.0,795,0.36087153881071266,20.74844481436419,38.35488219737037,0.010645830934161543,0.012993897959183673,0.010645830934161543,0.012993897959183673,1.6466441012537985,1.0,14.500031493464526,0.7099409895596913,0.646610344117041,0.09490509490509491,0.025137263652872534,0.09490509490509491,0.025137263652872534,0.22238434674448643,0.7776156532555135,0.9999999999999998,0.0,1.0,10,0,0,295,0,0,140,3,26.903002241944453
parksong,4000004,,1,4000046,mdn,0.0,automatic,0,0,0,0,0,29943,0,0.1301,2077,2077,1.0,695,0.33461723639865193,21.267342083085335,40.197077053071745,0.009931272111432231,0.012175519585309795,0.009931272111432231,0.012175519585309795,1.6129531722900228,1.0,14.301410458329887,0.7279730380356283,0.6558842306873803,0.10631443298969072,0.02974140272016371,0.10631443298969072,0.02974140272016371,0.22506998683352722,0.7749300131664728,1.0,0.0,1.0,15,0,0,256,0,0,143,0,61.39006607361112
drl,4000001,,1,4000043,mdn,0.0,automatic,6099,2130,0,0,0,30567,0,0.1215,2081,2081,1.0,682,0.3277270543008169,21.139634285326178,39.22103961828704,0.011200231314269685,0.013474979591836736,0.011200231314269685,0.013474979591836736,1.643286704344477,1.0,14.658863335534013,0.699663623258049,0.6781358885017421,0.07363834422657953,0.03321193356797481,0.07363834422657953,0.03321193356797481,0.22532282912288173,0.7746771708771183,1.0,0.0,1.0,11,0,0,232,0,0,140,3,129.28427159083333
drl,4000002,,1,4000044,mdn,0.0,automatic,6166,1579,0,0,0,31293,0,0.1657,2150,2150,1.0,729,0.33906976744186046,20.927492945503996,38.91686899138368,0.012884514625637234,0.016549173469387758,0.012884514625637234,0.016549173469387758,1.53385905407226,1.0,14.04418786189187,0.7120930232558139,0.641566265060241,0.07241308372762806,0.027955446743211636,0.07241308372762806,0.027955446743211636,0.2204111781361566,0.7795888218638434,1.0,0.0,1.0,11,0,0,277,0,0,140,3,40.89831253722222
drl,4000003,,1,4000045,mdn,0.0,automatic,6380,2076,0,0,0,32132,0,0.1076,2203,2203,1.0,796,0.3613254652746255,20.74999063451042,38.35488219737037,0.009472404122666525,0.011834724489795919,0.009472404122666525,0.011834724489795919,1.646644087979176,1.0,14.500033115887037,0.7099409895596913,0.6406668038691089,0.05963578146888133,0.024568966582692427,0.05963578146888133,0.024568966582692427,0.22232854101380284,0.7776714589861972,1.0000000000000002,0.0,1.0,10,0,0,296,0,0,140,3,28.120879879722235
drl,4000004,,1,4000046,mdn,0.0,automatic,6153,1639,0,0,0,29943,0,0.1001,2077,2077,1.0,695,0.33461723639865193,21.270949762178667,40.197077053071745,0.009147180864842352,0.011484346422807962,0.009147180864842352,0.011484346422807962,1.6129480480097553,1.0,14.302355843564435,0.7279730380356283,0.64419795221843,0.06110154905335628,0.0290344063699541,0.06110154905335628,0.0290344063699541,0.22506008078948714,0.7749399192105129,1.0,0.0,1.0,15,0,0,257,0,0,143,0,63.58017376916665
kbatch1,4000001,,1,4000043,mdn,0.0,automatic,0,0,0,0,0,30547,0,0.1657,2081,2081,1.0,678,0.32580490148966845,21.20563288439565,39.51400799364583,0.011850194409760375,0.014289673469387755,0.011850194409760375,0.014289673469387755,1.6445875548746207,1.0,14.794201343041852,0.7001441614608361,0.6838636363636363,0.10091313509716694,0.03470237678569826,0.10091313509716694,0.03470237678569826,0.2209226115452483,0.7790773884547517,1.0,0.0,1.0,11,0,0,406,0,0,140,3,104.92577112250001
kbatch1,4000002,,1,4000044,mdn,0.0,automatic,0,0,0,0,0,31293,0,0.1848,2150,2150,1.0,723,0.3362790697674419,21.003475461897818,39.83529898294618,0.013894289165219877,0.016654908163265304,0.013894289165219877,0.016654908163265304,1.5422553874105027,1.0,14.141793636191577,0.7120930232558139,0.6808558558558558,0.10352471735757038,0.026649814980581468,0.10352471735757038,0.026649814980581468,0.21579651277986922,0.7842034872201308,1.0,0.0,1.0,11,0,0,463,0,0,140,3,25.61991637499999
kbatch1,4000003,,1,4000045,mdn,0.0,automatic,0,0,0,0,0,32129,0,0.1192,2203,2203,1.0,796,0.3613254652746255,20.768771268270882,38.409062984112275,0.010194902796289904,0.012452816326530614,0.010194902796289904,0.012452816326530614,1.6487851451589792,1.0,14.554985680977566,0.7099409895596913,0.6824381926683717,0.08223544411389715,0.026360563746728242,0.08223544411389715,0.026360563746728242,0.21891557435151923,0.7810844256484808,1.0,0.0,1.0,10,0,0,454,0,0,140,3,26.22961929277778
