activity_switch_rate,ao_busy_share,ao_event_share,arrival_model,arrivals,assigned_atomic_starts,atomic_activity_mode,atomic_duration_scale,automatic_atomic_transitions,busy_outside_availability_hours,case_handover_rate,completed_cases,completion_share,cycle_time_days,decision_reach_share,drl_assignments,drl_postponements,effective_capacity,effective_roster_seed,excluded_resources,fairness,first_offer_reach_share,max_resource_occupation,max_session_guard_forced_completions,max_session_guard_reached,max_sessions_per_work_item,median_sessions_per_work_item,missing_resource_starts,occupation,p95_cycle_days,policy,rare_personal_loan_work_items,rare_shortened_work_items,resources_evaluated,rolling_workload_std,seed,still_queued_at_end,time_to_decision_days,time_to_first_offer_days,unpermitted_activities,w_activity_switch_rate,w_busy_share,w_event_share,w_fairness,w_occupation,w_rolling_workload_std,withdrawals,zero_availability_resources
0.11836784707756402,0.0,0.8074120736501769,mdn,4199,0,automatic,0.0,52645,132.74251123583335,0.69819140919367,3161,0.7527982853060252,0.6828035627141441,0.5484639199809478,0,0,1,4000046,,0.05411687800838467,0.9749940462014766,0.464,0,0,10,1.0,0,0.05916557498596732,2.7362249652430557,shortestqueue,0,0,139,0.025059076184711426,4000004,12,0.123344665330135,7.938696489272921e-05,0,0.11836784707756402,1.0000000000000002,0.19258792634982316,0.05411687800838467,0.05916557498596732,0.025059076184711426,340,4
0.13395790242121913,0.0,0.809238570401287,mdn,4348,0,automatic,0.0,54034,188.13632042777778,0.8017274472168906,3174,0.7299908003679852,0.7015083279201052,0.5223091076356946,0,0,1,4000043,,0.040869651056014686,0.9776908923643054,0.3102,0,0,11,1.0,0,0.04437270387793871,3.142020634466422,piled,0,0,132,0.029472035913014578,4000001,11,0.1491671962714867,0.00011160892765155477,0,0.13395790242121913,0.9999999999999999,0.19076142959871303,0.040869651056014686,0.04437270387793871,0.029472035913014578,307,11
0.12609253000815757,0.0,0.803670062148347,mdn,4309,0,automatic,0.0,54080,71.24439340750003,0.7824523552678893,3159,0.7331167324205152,0.6722354617788902,0.5182176839173822,0,0,1,4000044,,0.03720728740748408,0.9735437456486423,0.296,0,0,11,1.0,0,0.04038282617885606,3.4674461254536975,piled,0,0,139,0.023213701828775177,4000002,22,0.137092186426296,9.89223911209332e-05,0,0.12609253000815757,1.0,0.196329937851653,0.03720728740748408,0.04038282617885606,0.023213701828775177,314,4
0.11919368974583698,0.0,0.8050063207593292,mdn,4541,0,automatic,0.0,57044,89.05471534444446,0.807825656265478,3383,0.7449900902884827,0.7083425356612959,0.5364457168024664,0,0,1,4000045,,0.04065681666295389,0.9799603611539308,0.2526,0,0,12,1.0,0,0.04244808799888808,3.720082828369186,piled,0,0,134,0.023759958553291,4000003,19,0.12351753992781407,9.687655293643362e-05,0,0.11919368974583698,1.0,0.19499367924067076,0.04065681666295389,0.04244808799888808,0.023759958553291,318,9
0.1408623223909848,0.0,0.8074462028919503,mdn,4199,0,automatic,0.0,52642,131.73240697444444,0.7601357722044126,3161,0.7527982853060252,0.6752691994835825,0.5484639199809478,0,0,1,4000046,,0.0354039542466746,0.9749940462014766,0.2584,0,0,10,1.0,0,0.038505552031359865,2.742222376423611,piled,0,0,139,0.02403358683711739,4000004,13,0.1236810977018,7.938696489272921e-05,0,0.1408623223909848,1.0,0.19255379710804965,0.0354039542466746,0.038505552031359865,0.02403358683711739,340,4
0.06968303895475442,0.0,0.8091302607587055,mdn,4348,0,automatic,0.0,54036,202.27764740361107,0.560367957071675,3174,0.7299908003679852,0.7001030377039866,0.5223091076356946,0,0,1,4000043,,0.05149058769513315,0.9776908923643054,0.5158,0,0,11,1.0,0,0.03795251598392535,3.205506930208908,pullspt,0,0,132,0.03309123056650417,4000001,9,0.14908526944527517,0.00011160892765155477,0,0.06968303895475442,1.0000000000000002,0.19086973924129447,0.05149058769513315,0.03795251598392535,0.03309123056650417,306,11
0.07065091498725967,0.0,0.8036592809395292,mdn,4309,0,automatic,0.0,54087,80.94545553361111,0.5377172549722272,3160,0.7333488048271061,0.6854709004190328,0.5179856115107914,0,0,1,4000044,,0.0506781326018322,0.9735437456486423,0.4149,0,0,11,1.0,0,0.0363169265598727,3.4587184090972074,pullspt,0,0,139,0.027907366756012103,4000002,17,0.13676961482408653,9.89223911209332e-05,0,0.07065091498725967,0.9999999999999999,0.1963407190604708,0.0506781326018322,0.0363169265598727,0.027907366756012103,311,4
0.061015471780344305,0.0,0.8048198154172659,mdn,4541,0,automatic,0.0,57056,94.76840413999999,0.5739430827438724,3384,0.745210306099978,0.7092484955960648,0.5364457168024664,0,0,1,4000045,,0.05049386277567388,0.9799603611539308,0.3964,0,0,12,1.0,0,0.038025866784002306,3.6227258015428148,pullspt,0,0,134,0.027909506538704047,4000003,17,0.12294328915664625,9.687655293643362e-05,0,0.061015471780344305,1.0000000000000002,0.19518018458273412,0.05049386277567388,0.038025866784002306,0.027909506538704047,315,9
0.08053691275167785,0.0,0.8073851992409867,mdn,4199,0,automatic,0.0,52640,113.53832814777779,0.5236569274269557,3160,0.752560133365087,0.6836638031772627,0.5482257680400096,0,0,1,4000046,,0.04660912996221728,0.9749940462014766,0.45,0,0,10,1.0,0,0.033948349615287386,2.7472165568258102,pullspt,0,0,139,0.028170097957830684,4000004,12,0.12309210739861372,7.938696489272921e-05,0,0.08053691275167785,1.0,0.19261480075901327,0.04660912996221728,0.033948349615287386,0.028170097957830684,338,4
0.06984894259818732,0.0,0.8090198258291643,mdn,4348,0,automatic,0.0,54033,206.07719180861113,0.5200841622035195,3175,0.7302207911683533,0.7011681393373177,0.5223091076356946,0,0,1,4000043,,0.05113900367309459,0.9776908923643054,0.5233,0,0,11,1.0,0,0.03736401611075665,3.5406708045601754,pulllaf,0,0,132,0.03376749735256243,4000001,10,0.14896700141627223,0.00011160892765155477,0,0.06984894259818732,1.0,0.19098017417083565,0.05113900367309459,0.03736401611075665,0.03376749735256243,307,11
0.07072804892119534,0.0,0.803395757874088,mdn,4309,0,automatic,0.0,54120,72.07389710944443,0.5032959201852841,3163,0.7340450220468786,0.6787659672884758,0.5182176839173822,0,0,1,4000044,,0.05071851353449614,0.9735437456486423,0.45,0,0,11,1.0,0,0.03627864637328093,3.517133699729138,pulllaf,0,0,139,0.027940582172804027,4000002,17,0.13659716117293627,9.89223911209332e-05,0,0.07072804892119534,1.0,0.19660424212591193,0.05071851353449614,0.03627864637328093,0.027940582172804027,314,4
0.06355424964631624,0.0,0.8046733861123705,mdn,4541,0,automatic,0.0,57095,86.39289688499998,0.5369336835193697,3388,0.7460911693459591,0.7200062576853867,0.5364457168024664,0,0,1,4000045,,0.05197086210737358,0.9799603611539308,0.3962,0,0,12,1.0,0,0.03889783339480587,3.795821709593748,pulllaf,0,0,134,0.027815963868893546,4000003,12,0.12336963821946458,9.701271279390345e-05,0,0.06355424964631624,1.0,0.19532661388762948,0.05197086210737358,0.03889783339480587,0.027815963868893546,317,9
0.08135841680918642,0.0,0.8074937362387062,mdn,4199,0,automatic,0.0,52631,120.65366206611112,0.49188372970932426,3162,0.7530364372469636,0.6907388864464005,0.5482257680400096,0,0,1,4000046,,0.04652080120076601,0.9749940462014766,0.4571,0,0,10,1.0,0,0.03353756628224979,2.754198513313076,pulllaf,0,0,139,0.028764728571061025,4000004,14,0.12313455881824278,7.938696489272921e-05,0,0.08135841680918642,1.0,0.19250626376129376,0.04652080120076601,0.03353756628224979,0.028764728571061025,342,4
0.11448994426944512,0.0,0.8092030177716514,mdn,4348,0,automatic,0.0,54049,196.60042603555556,0.538225713738264,3175,0.7302207911683533,0.6911407733188065,0.5225390984360626,0,0,1,4000043,,0.056636960514233246,0.9779208831646734,0.4503,0,0,11,1.0,0,0.04336294831509048,3.1812338197060153,parksong,0,0,132,0.034671248560616375,4000001,10,0.14930025325289556,0.00011200721746411276,0,0.11448994426944512,1.0,0.19079698222834868,0.056636960514233246,0.04336294831509048,0.034671248560616375,310,11
